group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.03083209683332654,0.025776920533584737,0.024848110826499827,0.004283854293708734,0.06675080008267452,error_log_scale
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.3227514972501532,0.11291043030345548,0.31679704471281595,0.18668877869567801,0.4551839201859111,error_log_scale
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2206051904991087,0.17384537300864028,0.20969360585528252,0.13574652788100794,0.2571176504700335,error_log_scale
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05315795748986634,0.036098433969485984,0.047101565220552186,0.012787004296016752,0.09609929057199783,error_log_scale_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.19347309827172418,0.0659746287564501,0.19804147170609598,0.0991894303715533,0.2741233455350519,error_log_scale_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.18314328030797153,0.12244894631685137,0.18067161821891484,0.13434395530115756,0.20114702145708904,error_log_scale_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05250423469100116,0.06529603666738693,0.029916760428768424,0.011861000863823353,0.10694633804735353,error_latent
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.07832368765219556,0.2298653323679436,0.03534537356770265,0.016123083800163838,0.08740871459399396,error_latent
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.007714182892038767,0.005667305552467961,0.005665159770809732,0.0034843998373194256,0.014082664137884882,error_latent
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.011399317802889442,0.01424551904964917,0.008027496810726922,0.0064064080270375195,0.01777872129072026,error_latent_squared
