group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05331177638765654,0.016699932055851904,0.04900009422204101,0.03579067225352529,0.0765959873616602,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.41704080647112685,0.10142296588902644,0.39684984942982765,0.3130726069335337,0.5466658518915428,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.023972629609480815,0.007863600540929222,0.021909077359863117,0.01646541188379609,0.0346185104216541,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.06287628845832981,0.05894700466666836,0.05554663577575526,0.03778914729776444,0.08209315940707364,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.46431716562605657,0.15773729866074732,0.4274161676307634,0.3241831586050867,0.6464632869082375,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.02705888293921429,0.011091711487548202,0.023206649026554386,0.01864227624140961,0.03717693801290752,error_param_squaredgroup,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.03665477624820607,0.012407996803547492,0.032763517636721036,0.023858353266964078,0.05551746777946252,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.08777827878278296,0.024082891035171413,0.08543212069775727,0.06126877251207585,0.11097868695569933,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.023972629609480815,0.007863600540929222,0.021909077359863117,0.01646541188379609,0.0346185104216541,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04391262527613204,0.024383096101938215,0.037508240648821085,0.025960437893305228,0.0657203714124757,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.09143582619669816,0.032361443687150826,0.08495554792891286,0.06276293849963883,0.12087637953016113,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.02705888293921429,0.011091711487548202,0.023206649026554386,0.01864227624140961,0.03717693801290752,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.03665477624820607,0.012407996803547492,0.032763517636721036,0.023858353266964078,0.05551746777946252,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.08777827878278296,0.024082891035171413,0.08543212069775727,0.06126877251207585,0.11097868695569933,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.023972629609480815,0.007863600540929222,0.021909077359863117,0.01646541188379609,0.0346185104216541,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04391262527613204,0.024383096101938215,0.037508240648821085,0.025960437893305228,0.0657203714124757,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.09143582619669816,0.032361443687150826,0.08495554792891286,0.06276293849963883,0.12087637953016113,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.02705888293921429,0.011091711487548202,0.023206649026554386,0.01864227624140961,0.03717693801290752,error_param_squared
