group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.040326090103068285,0.013177099579987816,0.038479914446951,0.02409347282822831,0.05800070288518597,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.1419159335154471,0.05391899898664834,0.13528665800746353,0.07997061278862204,0.2104019150678795,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.020101934787014955,0.006132854613243793,0.02062019000933127,0.012460781933808866,0.027451446682286426,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.030329164148812215,0.008660428791705003,0.030323215686837584,0.02018889103663538,0.041032412881299246,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.09692087427582517,0.024036713461019574,0.09352116731744739,0.0698941545493361,0.1329831234239048,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.02177704952131995,0.0054457392990820514,0.021508316631999546,0.01529033797816268,0.029391761862980256,error_param_squaredgroup,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.2499245514105811,0.24894818732469004,0.14336616123672333,0.08985013513239982,0.54115560725421,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.020101934787014955,0.006132854613243793,0.02062019000933127,0.012460781933808866,0.027451446682286426,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.16383803068275507,0.13882973607281507,0.1191594314493464,0.07651080190318532,0.30402059049645885,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.02177704952131995,0.0054457392990820514,0.021508316631999546,0.01529033797816268,0.029391761862980256,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04603561109914634,0.017977051070750465,0.041212322598903846,0.025259166338696026,0.07454385908596091,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.2499245514105811,0.24894818732469004,0.14336616123672333,0.08985013513239982,0.54115560725421,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.020101934787014955,0.006132854613243793,0.02062019000933127,0.012460781933808866,0.027451446682286426,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.03835492034382823,0.012422575782538322,0.03652749115882016,0.025442859919772458,0.05559589250314275,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.16383803068275507,0.13882973607281507,0.1191594314493464,0.07651080190318532,0.30402059049645885,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.02177704952131995,0.0054457392990820514,0.021508316631999546,0.01529033797816268,0.029391761862980256,error_param_squared
