group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.10537902884112742,0.03432137396983082,0.09307998372410493,0.07640788385270637,0.15176556143205214,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,2.4672501762075263,0.7755798286570805,2.3179279865040643,1.4806860500773769,3.5645264387040987,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.05086417064917108,0.02394838037957806,0.041942918059367104,0.030132046981936143,0.08485783644753243,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.10606376835505457,0.03434402676348438,0.09384266743935368,0.07531179717745728,0.1502314943517589,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,3.6121071717101527,4.244028415631429,2.7177268114461035,1.9384921390874879,5.350106072688514,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,nuts,,0.05078236941092484,0.022287708934398544,0.04355541318809506,0.03266747446806721,0.07637163219181972,error_param_squaredgroup,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.11224432587072908,0.01232514933192775,0.11224432587072908,0.10352912919898613,0.12095952254247204,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.18213209877145992,0.038118940319784404,0.17340827954808394,0.14842603413016853,0.2342682554573022,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.05086417064917108,0.02394838037957806,0.041942918059367104,0.030132046981936143,0.08485783644753243,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.11332407301012551,0.021339251184667292,0.11332407301012551,0.09823494379200419,0.12841320222824681,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.17563841890897383,0.03944115863515801,0.1640032157421431,0.14110759494611896,0.22544436115211666,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.05078236941092484,0.022287708934398544,0.04355541318809506,0.03266747446806721,0.07637163219181972,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.07117497125175969,0.02868361023579463,0.0657067455571397,0.042711966024199695,0.11005186137078235,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.17881135061429462,0.05953745880551667,0.16077785941343517,0.12871959450462195,0.23759384474693002,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.05089995277022196,0.024067568955483346,0.041899034258907356,0.030132046981936143,0.08485783644753243,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.06924184083505054,0.026429543858176276,0.06488377230577562,0.041904243559587995,0.10572425252707293,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.17827447353597622,0.059645000826447456,0.16002592451141612,0.1301429214460029,0.2428564724569785,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.05079184570524632,0.02240093063923569,0.04349646217394607,0.03266747446806721,0.07637163219181972,error_param_squared
